Source:,C:\Users\jakem\Documents\KiCad\6.0\projects\DDS_FunctionGen\DDS_FunctionGenerator\DDS_FunctionGenerator.kicad_sch,,,,,,,
Date:,1/28/2023 16:16,,,,,,,
Tool:,Eeschema (6.0.6),,,,,,,
Generator:,D:\Programs\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,
Component Count:,137,,,,,,,
,,,,,,,,
Individual Components:,,,,,,,,
,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Comp_Value,Part_Number
,,C1,10u,SMD_Passives:CAP_0805,SMD_Passives_Reflow:SMD_0805,,10u,GRM21BR61H106KE43L
,,C2,2u2,SMD_Passives:CAP_0603,SMD_Passives_Reflow:SMD_0603,,2u2,GRM188R6YA225KA12D
,,C3,10u,SMD_Passives:CAP_0805,SMD_Passives_Reflow:SMD_0805,,10u,GRM21BR61H106KE43L
,,C4,2u2,SMD_Passives:CAP_0603,SMD_Passives_Reflow:SMD_0603,,2u2,GRM188R6YA225KA12D
,,C5,2u2,SMD_Passives:CAP_0603,SMD_Passives_Reflow:SMD_0603,,2u2,GRM188R6YA225KA12D
,,C6,10u,SMD_Passives:CAP_0805,SMD_Passives_Reflow:SMD_0805,,10u,GRM21BR61H106KE43L
,,C7,2u2,SMD_Passives:CAP_0603,SMD_Passives_Reflow:SMD_0603,,2u2,GRM188R6YA225KA12D
,,C8,10u,SMD_Passives:CAP_0805,SMD_Passives_Reflow:SMD_0805,,10u,GRM21BR61H106KE43L
,,C9,2u2,SMD_Passives:CAP_0603,SMD_Passives_Reflow:SMD_0603,,2u2,GRM188R6YA225KA12D
,,C10,10u,SMD_Passives:CAP_0805,SMD_Passives_Reflow:SMD_0805,,10u,GRM21BR61H106KE43L
,,C11,C11-DNI,SMD_Passives:CAP_0603,SMD_Passives_Reflow:SMD_0603,,10u,GRM21BR61H106KE43L
,,C12,100n,SMD_Passives:CAP_0603,SMD_Passives_Reflow:SMD_0603,,100n,06035C104JAT4A
,,C13,5n6,SMD_Passives:CAP_0603,SMD_Passives_Reflow:SMD_0603,,5n6,06035C562JAT2A
,,C14,2u2,SMD_Passives:CAP_0603,SMD_Passives_Reflow:SMD_0603,,2u2,GRM188R6YA225KA12D
,,C15,C15-DNI,SMD_Passives:CAP_0603,SMD_Passives_Reflow:SMD_0603,,DNI,GRM188R6YA225KA12D
,,C16,2u2,SMD_Passives:CAP_0603,SMD_Passives_Reflow:SMD_0603,,2u2,GRM188R6YA225KA12D
